iter	Passed	Remaining
420	2251	3096
421	2257	3092
422	2263	3087
423	2269	3082
424	2274	3077
425	2279	3072
426	2288	3071
427	2293	3065
428	2299	3060
429	2304	3054
430	2308	3048
431	2313	3042
432	2319	3036
433	2324	3031
434	2329	3025
435	2334	3020
436	2339	3014
437	2344	3008
438	2349	3003
439	2355	2997
440	2360	2991
441	2365	2985
442	2370	2980
443	2375	2974
444	2380	2969
445	2385	2963
446	2390	2957
447	2395	2951
448	2400	2946
449	2405	2940
450	2411	2934
451	2416	2929
452	2421	2923
453	2426	2918
454	2431	2912
455	2436	2906
456	2441	2901
457	2446	2895
458	2451	2889
459	2456	2884
460	2462	2878
461	2466	2872
462	2471	2867
463	2477	2861
464	2482	2855
465	2487	2850
466	2492	2844
467	2497	2838
468	2502	2833
469	2507	2827
470	2512	2821
471	2517	2816
472	2522	2810
473	2527	2804
474	2532	2799
475	2537	2793
476	2543	2788
477	2548	2782
478	2553	2777
479	2558	2771
480	2563	2765
481	2568	2760
482	2573	2754
483	2578	2748
484	2583	2743
485	2588	2737
486	2592	2731
487	2597	2725
488	2602	2720
489	2608	2714
490	2613	2709
491	2618	2703
492	2623	2698
493	2628	2692
494	2633	2687
495	2638	2681
496	2643	2675
497	2649	2670
498	2654	2664
499	2659	2659
500	2664	2653
501	2669	2648
502	2674	2642
503	2679	2636
504	2683	2630
505	2687	2624
506	2692	2618
507	2697	2612
508	2702	2606
509	2707	2601
510	2712	2595
511	2717	2589
512	2722	2584
513	2727	2578
514	2732	2573
515	2737	2567
516	2741	2561
517	2746	2555
518	2750	2549
519	2755	2543
520	2760	2538
521	2764	2531
522	2769	2525
523	2774	2520
524	2779	2514
525	2784	2509
526	2789	2504
527	2795	2498
528	2800	2493
529	2805	2487
530	2810	2482
531	2815	2477
532	2820	2471
533	2826	2466
534	2831	2460
535	2836	2455
536	2841	2450
537	2846	2444
538	2852	2439
539	2857	2434
540	2862	2428
541	2867	2423
542	2872	2417
543	2877	2412
544	2883	2407
545	2888	2401
546	2893	2396
547	2898	2390
548	2903	2385
549	2908	2379
550	2913	2374
551	2919	2369
552	2924	2363
553	2929	2358
554	2934	2353
555	2939	2347
556	2944	2342
557	2950	2336
558	2955	2331
559	2960	2325
560	2965	2320
561	2970	2315
562	2975	2309
563	2980	2304
564	2985	2298
565	2991	2293
566	2996	2288
567	3001	2282
568	3006	2277
569	3011	2271
570	3017	2266
571	3022	2261
572	3027	2256
573	3032	2250
574	3038	2245
575	3043	2240
576	3048	2235
577	3053	2229
578	3059	2224
579	3064	2218
580	3069	2213
581	3074	2207
582	3079	2202
583	3084	2197
584	3090	2192
585	3095	2186
586	3100	2181
587	3105	2176
588	3110	2170
589	3115	2165
590	3120	2159
591	3126	2154
592	3131	2149
593	3136	2143
594	3141	2138
595	3146	2132
596	3151	2127
597	3156	2122
598	3162	2117
599	3167	2111
600	3172	2106
601	3177	2100
602	3182	2095
603	3187	2089
604	3192	2084
605	3197	2078
606	3202	2073
607	3207	2068
608	3212	2062
609	3217	2057
610	3222	2051
611	3227	2046
612	3233	2041
613	3238	2035
614	3243	2030
615	3248	2024
616	3253	2019
617	3258	2013
618	3263	2008
619	3268	2003
620	3273	1997
621	3278	1992
622	3283	1987
623	3289	1981
624	3294	1976
625	3299	1971
626	3304	1965
627	3309	1960
628	3314	1955
629	3319	1949
630	3324	1944
631	3329	1938
632	3334	1933
633	3339	1928
634	3344	1922
635	3350	1917
636	3355	1911
637	3360	1906
638	3365	1901
639	3370	1895
640	3375	1890
641	3380	1885
642	3385	1879
643	3390	1874
644	3395	1868
645	3400	1863
646	3405	1858
647	3411	1852
648	3416	1847
649	3421	1842
650	3426	1837
651	3432	1831
652	3437	1826
653	3442	1821
654	3447	1816
655	3453	1810
656	3458	1805
657	3463	1800
658	3468	1794
659	3473	1789
660	3478	1783
661	3483	1778
662	3488	1773
663	3493	1767
664	3498	1762
665	3504	1757
666	3509	1752
667	3514	1746
668	3519	1741
669	3524	1736
670	3529	1730
671	3535	1725
672	3540	1720
673	3545	1714
674	3550	1709
675	3556	1704
676	3561	1699
677	3566	1693
678	3570	1688
679	3575	1682
680	3580	1677
681	3585	1671
682	3590	1666
683	3596	1661
684	3601	1656
685	3606	1650
686	3611	1645
687	3616	1640
688	3622	1634
689	3627	1629
690	3632	1624
691	3637	1619
692	3642	1613
693	3647	1608
694	3653	1603
695	3658	1597
696	3663	1592
697	3668	1587
698	3673	1582
699	3678	1576
700	3684	1571
701	3689	1566
702	3694	1560
703	3699	1555
704	3704	1550
705	3709	1544
706	3715	1539
707	3720	1534
708	3725	1529
709	3730	1523
710	3735	1518
711	3740	1512
712	3745	1507
713	3750	1502
714	3755	1497
715	3760	1491
716	3765	1486
717	3770	1480
718	3775	1475
719	3780	1470
720	3785	1465
721	3791	1459
722	3796	1454
723	3801	1449
724	3806	1443
725	3811	1438
726	3816	1433
727	3821	1427
728	3827	1422
729	3832	1417
730	3837	1412
731	3842	1406
732	3847	1401
733	3852	1396
734	3858	1391
735	3863	1385
736	3869	1380
737	3874	1375
738	3880	1370
739	3885	1365
740	3890	1359
741	3895	1354
742	3901	1349
743	3906	1344
744	3911	1338
745	3916	1333
746	3921	1328
747	3927	1323
748	3932	1317
749	3936	1312
750	3942	1307
751	3947	1301
752	3952	1296
753	3957	1291
754	3963	1286
755	3968	1280
756	3973	1275
757	3978	1270
758	3983	1264
759	3988	1259
760	3993	1254
761	3998	1248
762	4003	1243
763	4008	1238
764	4013	1233
765	4019	1227
766	4024	1222
767	4029	1217
768	4034	1211
769	4039	1206
770	4044	1201
771	4049	1196
772	4054	1190
773	4060	1185
774	4065	1180
775	4070	1175
776	4075	1169
777	4080	1164
778	4085	1159
779	4091	1153
780	4096	1148
781	4101	1143
782	4118	1141
783	4123	1136
784	4129	1130
785	4134	1125
786	4140	1120
787	4145	1115
788	4151	1110
789	4156	1104
790	4161	1099
791	4167	1094
792	4175	1089
793	4180	1084
794	4186	1079
795	4191	1074
796	4198	1069
797	4214	1066
798	4220	1061
799	4225	1056
800	4234	1051
801	4239	1046
802	4244	1041
803	4249	1035
804	4254	1030
805	4259	1025
806	4264	1019
807	4269	1014
808	4274	1009
809	4279	1003
810	4285	998
811	4290	993
812	4295	987
813	4300	982
814	4305	977
815	4310	971
816	4315	966
817	4320	961
818	4325	956
819	4330	950
820	4335	945
821	4341	940
822	4346	934
823	4351	929
824	4356	924
825	4361	918
826	4366	913
827	4371	908
828	4376	902
829	4381	897
830	4386	892
831	4391	886
832	4396	881
833	4402	876
834	4407	870
835	4412	865
836	4417	860
837	4422	854
838	4427	849
839	4432	844
840	4437	838
841	4442	833
842	4447	828
843	4452	823
844	4457	817
845	4462	812
846	4468	807
847	4473	801
848	4478	796
849	4483	791
850	4488	785
851	4493	780
852	4498	775
853	4503	769
854	4508	764
855	4513	759
856	4518	754
857	4524	748
858	4529	743
859	4534	738
860	4539	732
861	4544	727
862	4549	722
863	4555	716
864	4560	711
865	4565	706
866	4569	701
867	4574	695
868	4579	690
869	4584	685
870	4589	679
871	4594	674
872	4599	669
873	4604	663
874	4610	658
875	4615	653
876	4620	648
877	4625	642
878	4630	637
879	4635	632
880	4641	626
881	4646	621
882	4651	616
883	4656	611
884	4661	605
885	4666	600
886	4672	595
887	4677	589
888	4682	584
889	4687	579
890	4692	574
891	4698	568
892	4703	563
893	4708	558
894	4713	552
895	4718	547
896	4723	542
897	4729	537
898	4734	531
899	4739	526
900	4744	521
901	4749	516
902	4755	510
903	4760	505
904	4765	500
905	4770	494
906	4775	489
907	4780	484
908	4785	479
909	4790	473
910	4795	468
911	4800	463
912	4805	457
913	4810	452
914	4815	447
915	4820	442
916	4825	436
917	4831	431
918	4836	426
919	4841	420
920	4846	415
921	4851	410
922	4856	405
923	4861	399
924	4866	394
925	4871	389
926	4876	384
927	4881	378
928	4887	373
929	4892	368
930	4897	362
931	4902	357
932	4907	352
933	4912	347
934	4917	341
935	4923	336
936	4928	331
937	4933	326
938	4938	320
939	4943	315
940	4948	310
941	4953	305
942	4958	299
943	4963	294
944	4969	289
945	4974	283
946	4979	278
947	4984	273
948	4989	268
949	4994	262
950	4999	257
951	5004	252
952	5010	247
953	5015	241
954	5020	236
955	5025	231
956	5030	226
957	5036	220
958	5041	215
959	5046	210
960	5051	205
961	5056	199
962	5061	194
963	5067	189
964	5072	183
965	5077	178
966	5082	173
967	5087	168
968	5092	162
969	5097	157
970	5102	152
971	5107	147
972	5112	141
973	5117	136
974	5122	131
975	5128	126
976	5133	120
977	5138	115
978	5143	110
979	5148	105
980	5153	99
981	5158	94
982	5163	89
983	5168	84
984	5173	78
985	5178	73
986	5183	68
987	5189	63
988	5194	57
989	5199	52
990	5204	47
991	5209	42
992	5214	36
993	5219	31
994	5224	26
995	5230	21
996	5235	15
997	5240	10
998	5245	5
999	5250	0
