iter	Logloss
0	0.6791247197
1	0.6656380773
2	0.6525911416
3	0.6409726971
4	0.629843157
5	0.6194740143
6	0.6097618105
7	0.599710017
8	0.5909151643
9	0.5819037647
10	0.5743515251
11	0.5662175061
12	0.5592281775
13	0.5524365959
14	0.5462789067
15	0.5398922228
16	0.5341146829
17	0.5285767053
18	0.5230503615
19	0.5178045114
20	0.5130678093
21	0.5085491153
22	0.5044506151
23	0.5003936025
24	0.4964430919
25	0.492656827
26	0.4888998336
27	0.4852054401
28	0.4816998338
29	0.4784637842
30	0.475958877
31	0.4730533456
32	0.470243371
33	0.46777225
34	0.464994055
35	0.4626768971
36	0.4605492244
37	0.4582590182
38	0.456128442
39	0.4539928291
40	0.4521332081
41	0.4502158759
42	0.4485908437
43	0.4470588116
44	0.4452709751
45	0.4433447094
46	0.4417426352
47	0.4404435567
48	0.4388064371
49	0.4374824059
50	0.4361343761
51	0.4346760136
52	0.4334150673
53	0.432208986
54	0.4308465461
55	0.4296877028
56	0.4284275067
57	0.4274738055
58	0.4262168543
59	0.4251839883
60	0.424200114
61	0.42318299
62	0.422127127
63	0.4213366343
64	0.420741476
65	0.419903168
66	0.4190002029
67	0.4183566634
68	0.4176756303
69	0.4167518359
70	0.4161486894
71	0.4156673283
72	0.415031817
73	0.4144214713
74	0.4137680975
75	0.4133580175
76	0.4127162066
77	0.4121118194
78	0.4115409708
79	0.4110480196
80	0.4103451303
81	0.4098181634
82	0.4093559362
83	0.4088753504
84	0.4083937079
85	0.4078768031
86	0.4073357154
87	0.4068827092
88	0.4064748665
89	0.4058933922
90	0.4054116016
91	0.4049589078
92	0.4044290554
93	0.403937016
94	0.4034990525
95	0.4030264091
96	0.4025503068
97	0.4020953031
98	0.4017856006
99	0.4013562149
100	0.4009794967
101	0.4006294337
102	0.4002603981
103	0.3998641301
104	0.3994444128
105	0.3991097606
106	0.3987413589
107	0.3982654749
108	0.3979031059
109	0.3975242673
110	0.3971297996
111	0.3969133271
112	0.3966284045
113	0.3963532368
114	0.3961332868
115	0.3958284691
116	0.3955271102
117	0.3952436767
118	0.3948415486
119	0.3945645615
120	0.3943457921
121	0.3940901164
122	0.3937500076
123	0.3934763889
124	0.393201519
125	0.3928901123
126	0.3926350464
127	0.3924173412
128	0.3921488187
129	0.3918953406
130	0.3916587947
131	0.391387598
132	0.3910584061
133	0.3907839963
134	0.3904832287
135	0.3903139568
136	0.3900505001
137	0.3898446364
138	0.3894106825
139	0.3892200961
140	0.3889299324
141	0.3886984844
142	0.3883480811
143	0.3881406004
144	0.3878726695
145	0.3876731653
146	0.3874714713
147	0.38736379
148	0.3871502786
149	0.3869952822
150	0.3868185773
151	0.3866160644
152	0.3863933667
153	0.3861217828
154	0.3860116225
155	0.3858014804
156	0.3855887372
157	0.3854374433
158	0.385260898
159	0.3850793231
160	0.3848739377
161	0.3846346453
162	0.3844744454
163	0.3842480584
164	0.3839532546
165	0.3837256211
166	0.3835202679
167	0.3833911527
168	0.3832345914
169	0.3830495528
170	0.3828568147
171	0.3826524112
172	0.3825029408
173	0.3823346917
174	0.3821653157
175	0.3820876594
176	0.3818279981
177	0.3815588797
178	0.3813824982
179	0.3811711129
180	0.3809329213
181	0.3807409253
182	0.3806323753
183	0.3804844786
184	0.3803145849
185	0.3801823164
186	0.3799412889
187	0.3797281745
188	0.3795037791
189	0.3793139013
190	0.3790446714
191	0.3789309558
192	0.3788282219
193	0.3786277599
194	0.3785085289
195	0.3783247337
196	0.3781986845
197	0.3780234224
198	0.3778988326
199	0.3776569905
200	0.3775618443
201	0.3774281514
202	0.3772060588
203	0.3770359714
204	0.3768301746
205	0.3766251985
206	0.3764575871
207	0.3762362375
208	0.3760955122
209	0.3758553555
210	0.3757718801
211	0.375500592
212	0.3752930335
213	0.3751514481
214	0.3750275892
215	0.3749013099
216	0.3747170851
217	0.3745684891
218	0.3744113147
219	0.3742663159
220	0.3740439029
221	0.3738688216
222	0.3737093759
223	0.3735962702
224	0.3732697761
225	0.3731234993
226	0.3729665628
227	0.3728610334
228	0.3726549135
229	0.3725253388
230	0.3723596669
231	0.3721884262
232	0.3719944638
233	0.3719012294
234	0.3717712977
235	0.3716071315
236	0.3714098446
237	0.3713098848
238	0.3712104571
239	0.3710481182
240	0.3708583371
241	0.3706836697
242	0.3705422657
243	0.3703520376
244	0.3701939493
245	0.3700355123
246	0.3698083564
247	0.3696246139
248	0.3695342362
249	0.3691909574
250	0.3690217588
251	0.3689220456
252	0.3686358231
253	0.3684295538
254	0.368305954
255	0.3679635701
256	0.3678028823
257	0.3675253838
258	0.3673223161
259	0.3671773217
260	0.3670829127
261	0.3669584165
262	0.3667951118
263	0.366687122
264	0.3664732718
265	0.3662871011
266	0.3661515838
267	0.3659753928
268	0.3657278401
269	0.3655726209
270	0.3653875674
271	0.3651718961
272	0.3650459261
273	0.3649206254
274	0.3647172894
275	0.3645266568
276	0.3644071739
277	0.3643004626
278	0.3642144269
279	0.3639968724
280	0.3639135785
281	0.3637958664
282	0.363536191
283	0.3634223585
284	0.3632683882
285	0.3631649827
286	0.3629887136
287	0.3628977685
288	0.3628085551
289	0.3626621106
290	0.3625266647
291	0.3625161319
292	0.3624349427
293	0.362369995
294	0.3621236802
295	0.3620525866
296	0.3619489799
297	0.3618023965
298	0.3616086174
299	0.3614860616
300	0.3612159665
301	0.3611381899
302	0.3609943367
303	0.3608880142
304	0.3608173545
305	0.3607872321
306	0.3606830203
